As of Date,Fiscal Year,Region,Borrower Country / Economy,Borrower Country / Economy Code,Project ID,Project Name,Procurement Category,Procurement Method,Project Global Practice,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country / Economy,Supplier Country / Economy Code,Supplier Contract Amount (USD),Borrower Contract Reference Number,Review type,Supplier ID
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1595941,PHASE ONE,10/04/2019,ABC HANSEN,Denmark,DK,769.820000,KE-MIGORI COUNTY-138546-GO-RFB,Post,90453
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1595950,procurement of motorcycle,10/04/2019,LABCOM TECHNOLOGY,Bangladesh,BD,4811.400000,KE-NYAMIRA COUNTY-138536-GO-RFB,Post,387756
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1595951,procurement of motor cycles,10/04/2019,EMOVERS ENGINEERING WORKS LTD,Kenya,KE,6254.810000,KE-KISII COUNTY-138534-GO-RFB,Post,441900
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1595956,procurement of motorcycles,10/04/2019,AFGHAN BUILDER AND CONSORTIUM (ABC),Afghanistan,AF,4.810000,KE-KILIFI COUNTY-138538-GO-RFB,Post,316108
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Individual Consultant Selection,Agriculture;Water/Sanit/Waste,1596813,Consultancy services for Sociologist/ RAP Expert/ Social Safeguards Expert - Mwache,09/11/2019,INDIVIDUAL CONSULTANT,null,null,201350.020000,KE-MOWI-84283-CS-INDV,Prior,null
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Consultant Services,Quality And Cost-Based Selection,Energy & Extractives,1596822,Consultancy Services for Review of Mid and Downstream Regulations in Kenya,08/14/2019,KURRENT TECHNOLOGIES LIMITED,Kenya,KE,467543.900000,KE-MOE-66379-CS-QCBS,Post,185084
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste,1597134,Consultancy for Resettlement Action Plan Implementation for Mwache Dam,10/16/2019,FRONTMAN CONSULTANTS,Kenya,KE,5081930.270000,KE-MOWI-83364-CS-QCBS,Prior,395808
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Quotations,Water/Sanit/Waste,1598700,SUPPLY AND DELIVERY OF 10 NO. MOTOR BIKES,10/29/2019,JOGI MOTORS LIMITED,Kenya,KE,54323.320000,KE-MAWASCO-30081-GO-RFQ,Post,446023
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Quotations,Water/Sanit/Waste,1598743,"SUPPLY,DELIVERY AND INSTALLATION OF 1 NO. DIESEL GENERATOR",10/29/2019,JOS HANSEN & SOEHNE (EA) LTD,Kenya,KE,15004.840000,KE-MAWASCO-30116-GO-RFQ,Post,595052
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1599348,SUPPLY AND DELIVERY OF OFFICE FURNITURE,07/10/2019,MUTAGA TRADERS,Kenya,KE,17758.800000,KE-KIRINYAGA COUNTY-114633-GO-RFQ,Post,448887
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P113542,Kenya Informal Settlements Improvement Project (KISIP),Consultant Services,Direct Selection,Public Admin;Transportation;Water/Sanit/Waste,1599403,Consultancy Services For Individual Civil Engineering Consultant (Eng. Joash Wende),07/25/2019,ENG JOASH ODHIAMBO WENDE,Kenya,KE,52734.400000,KE-MOTI-98473-CS-CDS,Post,438116
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1599932,Supply and Delivery of Water Meters   [100 No. static ultrasonic cold-water meters with inbuilt radio module (DN50mm) and 50 No. static ultrasonic cold-water meters with inbuilt radio module (DN40mm)].,10/28/2019,DANCO CAPITAL,Kenya,KE,189248.890000,KE-MAWASCO-38020-GO-RFB,Post,342645
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1599991,"Consultancy Services (Design Review, Implementation of ESIA/RAP and Construction Supervision for the Works) for both Water and Sanitation Works in Malindi, Watamu & Gongoni",01/15/2020,NICHOLAS O'DWYER LIMITED,Ireland,IE,362979.640000,KE-MAWASCO-69995-CS-QCBS,Post,335783
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1599991,"Consultancy Services (Design Review, Implementation of ESIA/RAP and Construction Supervision for the Works) for both Water and Sanitation Works in Malindi, Watamu & Gongoni",01/15/2020,DESIGN MASTER PLAN,Kenya,KE,362979.640000,KE-MAWASCO-69995-CS-QCBS,Post,472776
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1599991,"Consultancy Services (Design Review, Implementation of ESIA/RAP and Construction Supervision for the Works) for both Water and Sanitation Works in Malindi, Watamu & Gongoni",01/15/2020,STUDIO GAILLIINGEGNERIA S.R.I,Italy,IT,362979.640000,KE-MAWASCO-69995-CS-QCBS,Post,593134
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Consultant Services,Quality And Cost-Based Selection,Water/Sanit/Waste,1599991,"Consultancy Services (Design Review, Implementation of ESIA/RAP and Construction Supervision for the Works) for both Water and Sanitation Works in Malindi, Watamu & Gongoni",01/15/2020,ACE CONSULTING ENGINEERS - MOHARRAM.BAKHOUM,"Egypt, Arab Republic of",EG,362979.640000,KE-MAWASCO-69995-CS-QCBS,Post,686906
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P160083,Kenya  Secondary Education Quality Improvement Project,Consultant Services,Quality And Cost-Based Selection,Education,1600002,"CONSULTANCY TO DESIGN AND SUPPORT IMPLEMENTATION OF A SCHOLARSHIP, MENTORSHIP,GENDER SENSITISATION AND SOCIAL SUPPORT PROGRAMME FOR SECONDARY SCHOOL STUDENTS UNDER SEQIP",11/21/2019,EQUITY GROUP FOUNDATION,Kenya,KE,10448304.660000,KE-MOE-48916-CS-QCBS-2,Prior,368296
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P117635,Kenya Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste;Industry & Trade/Ser,1600071,Consultancy for Resettlement Action Plan Implementation for Lower Nzoia Project,11/18/2019,SOUTHERN DELTA INTERNATIONAL,Kenya,KE,291988.310000,KE-MOWI-84310-CS-QCBS,Post,395809
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P117635,Kenya Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste;Industry & Trade/Ser,1600071,Consultancy for Resettlement Action Plan Implementation for Lower Nzoia Project,11/18/2019,NICHE ENVIRONMENT CONSULTANTS,Kenya,KE,283400.420000,KE-MOWI-84310-CS-QCBS,Post,418989
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P117635,Kenya Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste;Industry & Trade/Ser,1600071,Consultancy for Resettlement Action Plan Implementation for Lower Nzoia Project,11/18/2019,STROUTEL ENGINEERING AFRICA,Kenya,KE,283400.420000,KE-MOWI-84310-CS-QCBS,Post,418996
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Goods,Request for Bids,Info & Communication;Transportation;Industry & Trade/Ser,1600231,"Design, supply, installation, configuration and commissioning of an enterprise network management and WAN optimisation solution.",12/30/2019,NEXT TECHNOLOGIES,Kenya,KE,457649.680000,KE-KRA-102514-GO-RFB - Next Technologies,Post,723773
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Goods,Request for Bids,Info & Communication;Transportation;Industry & Trade/Ser,1600278,"Design, supply, installation, configuration and commissioning of a fiber optic based Metropolitan Area Network (MAN) and Local Area Networks (LANs) at Kilindini Port",12/30/2019,TOP CHOICE SURVEILLANCE LIMITED,Kenya,KE,1726666.520000,KE-KRA-102514-GO-RFB - Top Choice,Post,442608
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P164654,Kenya Social and Economic Inclusion Project,Consultant Services,Direct Selection,Public Admin;Health;Social Protection,1600488,Provision of Technical assistance in implementing the Nutrition Improvements through Cash and Health Education (NICHE) Under Kenya Social and Economic Inclusion Project (KSEIP) – P164654,11/21/2019,UNITED NATIONS CHILDREN'S FUND (UNICEF),World,1W,11285000.000000,KE-NSPS-99257-CS-CDS,Prior,34990
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Consultant Services,Direct Selection,Agriculture,1600506,Consultancy Services to undertake the Upgrade of KAPAP MIS to Incorporate KCSAP,08/09/2019,MARKET EDGE LTD,Kenya,KE,98268.220000,KE-MOALF-84065-CS-CDS,Post,442471
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P117635,Kenya Water Security and Climate Resilience Project,Consultant Services,Individual Consultant Selection,Agriculture;Water/Sanit/Waste;Industry & Trade/Ser,1600911,Consultancy Services for Social Safeguards Expert - LNIP and IFMS,11/26/2019,INDIVIDUAL CONSULTANT,null,null,101556.460000,KE-MOWI-112692-CS-INDV,Prior,null
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Works,Request for Quotations,Agriculture;Public Admin;Industry & Trade/Ser,1601308,proposed renovation works at ATC NARIGP offices,12/05/2019,GIBCOM INVESTMENT LTD,Kenya,KE,14190.450000,KE-KISII COUNTY-140174-CW-RFQ,Post,448205
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P160009,Kenya: Off-grid Solar Access Project for Underserved Counties,Consultant Services,Quality And Cost-Based Selection,Energy & Extractives;Water/Sanit/Waste,1601855,PROCUREMENT OF CONSULTANCY SERVICES FOR CONSUMER AWARENESS AND COMMUNICATION CAMPAIGN DESIGN AND IMPLEMENTATION M/s Media Edge Interactive Limited,08/14/2019,MEDIA EDGE INTERACTIVE LIMITED P.O BOX 30807-00100 NAIROBI,Kenya,KE,1545525.790000,KE-MOE-49840-CS-QCBS,Prior,371894
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Goods,Request for Bids,Agriculture,1602215,"Supply, Installation, Configuration and Commissioning of Agro-weather System",12/11/2019,APPKINGS SOLUTION LTD,Kenya,KE,218312.070000,KE-MOALF-62660-GO-RFB,Post,456037
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P154784,Kenya Climate Smart Agriculture Project,Goods,Request for Bids,Agriculture,1602766,Supply and Delivery of qty 42 motor vehicles (Double cab pick-up 2000-2500cc) and qty 4 motor vehicles (Heavy Duty Utility Passenger2700-3000cc )Diesel,12/11/2019,SIMBA CORPORATION LIMITED,Kenya,KE,144292.880000,KE-MOALF-82631-GO-RFB,Prior,310311
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P117635,Kenya Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste;Industry & Trade/Ser,1603190,Consultancy services for design and construction supervision of National Data and Information Centre,12/17/2019,DAMA SERVICES LIMITED,Kenya,KE,676619.060000,KE-MOWI-47898-CS-QCBS,Prior,345909
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Consultant Services,Direct Selection,Agriculture;Public Admin;Industry & Trade/Ser,1604980,Development of Management Information System,11/19/2019,MARKET EDGE LTD,Kenya,KE,214150.500000,KE-MOALF-81303-CS-CDS,Prior,442471
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1604986,Supply and delivery Double cabin Pickup engine capacity 2000cc-2500cc,12/11/2019,ISUZU EAST AFRICA LIMITED,Kenya,KE,1029529.830000,1604986,Prior,348919
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P153349,National Agricultural and Rural Inclusive Growth Project,Goods,Request for Bids,Agriculture;Public Admin;Industry & Trade/Ser,1605004,Supply and Delivery of motor vehicle station wagons engine capacity 2700cc-3000cc,12/11/2019,SIMBA CORPORATION LIMITED,Kenya,KE,181526.300000,1605004,Prior,310311
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P148853,"EA Regional Transport , Trade and Development Facilitation Project (Second Phase of Program)",Works,Request for Bids,Info & Communication;Transportation;Industry & Trade/Ser,1605278,Upgrading of Lokichar - Loichangamatak (A1) Road,11/15/2019,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED,China,CN,57416815.540000,KeNHA/RD/DEV/2828/2019,Prior,406543
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste,1607183,CONSULTANCY FOR KWALE COUNTY IMPROVED SANITATION COMMUNICATIONS CAMPAIGN,02/12/2020,REDBRICK CONSULTING LTD,Kenya,KE,247215.310000,KE-MOWI-72155-CS-QCBS,Prior,392929
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste,1607183,CONSULTANCY FOR KWALE COUNTY IMPROVED SANITATION COMMUNICATIONS CAMPAIGN,02/12/2020,FATHER’S DAUGHTER ORGANIZATION,Kenya,KE,239944.270000,KE-MOWI-72155-CS-QCBS,Prior,392930
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Quality And Cost-Based Selection,Agriculture;Water/Sanit/Waste,1607183,CONSULTANCY FOR KWALE COUNTY IMPROVED SANITATION COMMUNICATIONS CAMPAIGN,02/12/2020,ELLEM MARKETING AND COMMUNICATION LTD,Kenya,KE,239944.270000,KE-MOWI-72155-CS-QCBS,Prior,392965
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145559,Coastal Region Water Security and Climate Resilience Project,Consultant Services,Consultant Qualification  Selection,Agriculture;Water/Sanit/Waste,1607184,Consultancy to Survey Services for Mwache Dam and LNIP,02/13/2020,GEOMATICS CIVIL ENGINEERING SURVEYORS,Kenya,KE,296474.850000,KE-MOWI-121953-CS-CQS,Post,443969
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P152394,Transforming Health Systems for Universal Care,Consultant Services,Direct Selection,Health,1607863,PROVISION OF INDEPENDENT INTEGRATED FIDUCIARY REVIEW AGENCY SERVICES,12/19/2019,M/S ERNEST & YOUNG  LLPKENYA RE TOWERS OFF RAGATI ROAD,Kenya,KE,572556.860000,KE-MOH-109965-CS-CDS,Prior,344826
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Quotations,Water/Sanit/Waste,1608103,Procurement of 10 No Motorcycles,01/22/2020,KIBO AFRICA LIMITED,Kenya,KE,35590.720000,KE-KWAWASCO-74584-GO-RFQ,Post,896289
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1608285,Supply and delivery of cold water meters,01/27/2020,CADILLAC TRADELINK,Kenya,KE,356616.010000,KE-KWAWASCO-74578-GO-RFB,Post,429388
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1608788,Tender No.KE-MAWASCO-149045-GO-RFB for supply and delivery of 2 No. 4x4 WD double Cabin Pick ups,03/24/2020,ISUZU EAST AFRICA LIMITED,Kenya,KE,90909.060000,KE-MAWASCO-149045-GO-RFB,Post,348919
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1608904,Supply and delivery of ICT Equipment,01/22/2020,INNOVATIVE TECHNOLOGIES AFRICA LIMITED,Kenya,KE,38396.380000,KE-KWAWASCO-74600-GO-RFQ- LOT2,Post,423806
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1608917,Supply and delivery of office furniture,01/22/2020,ADS MASTERS LIMITED,Kenya,KE,24328.440000,KE-KWAWASCO-74600-GO-RFQ,Post,439317
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1609054,Supply and delivery of pipes and fittings,01/22/2020,KINETICS ENGINEERING LIMITED,Kenya,KE,57170.170000,KE- KWAWASCO-74587-GO-RFQ,Post,922800
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1609055,Supply and delivery of personal protective gear,01/27/2020,CROSS FRONTIER CONSTRUCTION CO. LTD,Kenya,KE,17891.790000,KE-KWAWASCO-74587-GO-RFQ,Post,747185
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1609062,Supply and delivery of Electro mechanical items,01/27/2020,CROSS FRONTIER CONSTRUCTION CO. LTD,Kenya,KE,22346.820000,KE-KWAWASCO-74587- GO-RFQ,Post,747185
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1609340,,01/30/2020,COAST INDUSTRIAL AND SAFETY SUPPLIES LIMITED,Kenya,KE,832394.100000,KE-TAVEVO-82742-GO-RFB,Post,475131
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1609346,2 no truck mounted cranes,01/10/2020,RYCE EAST AFRICA LTD,Kenya,KE,314715.780000,KE-WAJWASCO-22231-GO-RFB,Post,479551
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Goods,Request for Bids,Energy & Extractives,1609419,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF LAPTOPS AND GEOPHYSICAL DATA INTERPRETATION MOBILE WORKSTATIONS",12/20/2019,SPECICOM TECHNOLOGIES,Kenya,KE,16484.110000,KE-MOE-77079-GO-RFB-1,Post,988367
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P145234,Kenya Petroleum Technical Assistance Project (KEPTAP),Goods,Request for Bids,Energy & Extractives,1609427,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF LAPTOPS AND GEOPHYSICAL DATA INTERPRETATION MOBILE WORKSTATIONS",12/20/2019,M/S KENTEK SOLUTIONS LTD,Kenya,KE,31549.290000,KE-MOE-77079-GO-RFB,Post,376874
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1610443,The five (5) bidders who submitted their bids were subjected through the evaluation criteria as reflected in the original bid document.,03/25/2020,ISUZU EAST AFRICA LIMITED,Kenya,KE,110798.110000,KE-MOWASCO-27108-GO-RFB,Post,348919
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P151816,Financial Sector Support Project,Goods,Request for Bids,Financial Sector,1610584,"Supply, Installation, Commissioning and Support of Proposed Software and Hardware for Central Securities Depository System for the Central Bank of Kenya",05/22/2020,Montran Corporation,United States,US,830000.000000,FSSP/PIU/L/CBK/10/2018-19,Prior,504592
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1610609,"Supply and delivery of 4No. Meter testing kits,Service bay and 2No. leak detectors",03/13/2020,COAST INDUSTRIAL AND SAFETY SUPPLIES LIMITED,Kenya,KE,152489.130000,KE-KWAWASCO-126395-GO-RFB,Post,475131
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1610805,"KE-TAVEVO-82746-GO-RFB-SUPPLY AND DELIVERY OF 10,000 LITRES WATER BOWSERS - 2NO",10/24/2019,STRATOGEN LIMITED,Kenya,KE,222222.130000,KE/TAVEVO/82746/GO/RFB,Post,474796
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1610815,"Supply and Delivery of all Consumer Water Meters AMR enabled size DN15mm, Major Customer Water meters (Ultrasonic water meters) with integrated radio module of size DN40mm, DN50",12/23/2019,ARAM INVESTMENT LTD,Kenya,KE,515948.060000,KE-KIMAWASCO-76105-GO-RFB,Post,455513
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Bids,Water/Sanit/Waste,1610822,KE - TAVEVO - 82752 - GO - RFB - SUPPLY AND DELIVERY OF SEWERAGE EXHAUSTERS WITH PUMP - 2 NO,10/24/2019,BIOMAX AFRICA LIMITED,Kenya,KE,321838.940000,KE/TAVEVO/82752/GO/RFB,Post,475019
01/02/2026,2020,Eastern and Southern Africa,Kenya,KE,P156634,Water and Sanitation Development Project,Goods,Request for Quotations,Water/Sanit/Waste,1610825,Supply and Delivery of 15no. Motor Cycles 175cc,12/23/2019,MTAWA MOTORCYCLE AND SERVICES LTD,Kenya,KE,89827.550000,KE-KIMAWASCO-74939-GO-RFQ,Post,453125
